id,source,target,airlines
YYZ-ATL,YYZ,ATL,6
YYZ-CDG,YYZ,CDG,6
ICN-MNL,ICN,MNL,6
MNL-ICN,MNL,ICN,6
MNL-TPE,MNL,TPE,6
TYS-ATL,TYS,ATL,6
ATL-BHM,ATL,BHM,6
SKG-ATH,SKG,ATH,6
ZRH-LIS,ZRH,LIS,6
TPE-MNL,TPE,MNL,6
YZF-YEG,YZF,YEG,6
ARN-LHR,ARN,LHR,6
AMD-BOM,AMD,BOM,6
ATL-DAY,ATL,DAY,6
AMD-DEL,AMD,DEL,6
BLR-BOM,BLR,BOM,6
BLR-DEL,BLR,DEL,6
BLR-GOI,BLR,GOI,6
ATL-GDL,ATL,GDL,6
BLR-MAA,BLR,MAA,6
BOM-AMD,BOM,AMD,6
AUH-ISB,AUH,ISB,6
BOM-BLR,BOM,BLR,6
CKG-CSX,CKG,CSX,6
BOM-DEL,BOM,DEL,6
BOM-GOI,BOM,GOI,6
CKG-HGH,CKG,HGH,6
BOM-TRV,BOM,TRV,6
CCU-DEL,CCU,DEL,6
BNE-DRW,BNE,DRW,6
CCU-GAU,CCU,GAU,6
ATL-MKE,ATL,MKE,6
CCU-IXB,CCU,IXB,6
ATL-MTY,ATL,MTY,6
CDG-DFW,CDG,DFW,6
KLO-MNL,KLO,MNL,6
DEL-AMD,DEL,AMD,6
DEL-BLR,DEL,BLR,6
DEL-BOM,DEL,BOM,6
DEL-CCU,DEL,CCU,6
DEL-GAU,DEL,GAU,6
CTS-NRT,CTS,NRT,6
DEL-IXB,DEL,IXB,6
ATL-SAV,ATL,SAV,6
ATL-SDF,ATL,SDF,6
ATL-SEA,ATL,SEA,6
DEL-IXJ,DEL,IXJ,6
DEL-LKO,DEL,LKO,6
ATL-SLC,ATL,SLC,6
DEL-PNQ,DEL,PNQ,6
DFW-LAX,DFW,LAX,6
DFW-LHR,DFW,LHR,6
DFW-MSY,DFW,MSY,6
DRW-BNE,DRW,BNE,6
BHM-ATL,BHM,ATL,6
DEL-SXR,DEL,SXR,6
BNA-ATL,BNA,ATL,6
GAU-CCU,GAU,CCU,6
BRU-JFK,BRU,JFK,6
GAU-DEL,GAU,DEL,6
GOI-BLR,GOI,BLR,6
CDG-CMN,CDG,CMN,6
GOI-BOM,GOI,BOM,6
IXB-CCU,IXB,CCU,6
CHS-ATL,CHS,ATL,6
CLE-ATL,CLE,ATL,6
IXB-DEL,IXB,DEL,6
CMN-CDG,CMN,CDG,6
IXJ-DEL,IXJ,DEL,6
HKG-SFO,HKG,SFO,6
DAY-ATL,DAY,ATL,6
LKO-DEL,LKO,DEL,6
NKG-CGQ,NKG,CGQ,6
CTU-TSN,CTU,TSN,6
IAH-LHR,IAH,LHR,6
FRA-ATL,FRA,ATL,6
ISB-AUH,ISB,AUH,6
GDL-ATL,GDL,ATL,6
PNQ-DEL,PNQ,DEL,6
RGN-SIN,RGN,SIN,6
SXR-DEL,SXR,DEL,6
TRV-BOM,TRV,BOM,6
PEK-CKG,PEK,CKG,6
CJU-GMP,CJU,GMP,6
JFK-BRU,JFK,BRU,6
PEK-CTU,PEK,CTU,6
JRO-DAR,JRO,DAR,6
GMP-CJU,GMP,CJU,6
KMG-CAN,KMG,CAN,6
HKT-SIN,HKT,SIN,6
JFK-SAN,JFK,SAN,6
CTU-XMN,CTU,XMN,6
LAX-MSP,LAX,MSP,6
JFK-YUL,JFK,YUL,6
SZX-CKG,SZX,CKG,6
JNB-LHR,JNB,LHR,6
CKG-PEK,CKG,PEK,6
TAO-CTU,TAO,CTU,6
ICN-NGO,ICN,NGO,6
TNA-CGQ,TNA,CGQ,6
LAX-DFW,LAX,DFW,6
ICN-TAO,ICN,TAO,6
DLC-TNA,DLC,TNA,6
MTY-ATL,MTY,ATL,6
OKC-ATL,OKC,ATL,6
NGO-ICN,NGO,ICN,6
LAX-KOA,LAX,KOA,6
TNA-DLC,TNA,DLC,6
LAX-MCO,LAX,MCO,6
TAO-ICN,TAO,ICN,6
FOC-CSX,FOC,CSX,6
TNA-KMG,TNA,KMG,6
CSX-NKG,CSX,NKG,6
SAV-ATL,SAV,ATL,6
SDF-ATL,SDF,ATL,6
SEA-ATL,SEA,ATL,6
LAX-PHX,LAX,PHX,6
LAX-PPT,LAX,PPT,6
SLC-ATL,SLC,ATL,6
MNL-KLO,MNL,KLO,6
LAX-RNO,LAX,RNO,6
HKG-KIX,HKG,KIX,6
CKG-SZX,CKG,SZX,6
KIX-HKG,KIX,HKG,6
LAX-SJC,LAX,SJC,6
CTA-LGW,CTA,LGW,6
LGW-CTA,LGW,CTA,6
EZE-GIG,EZE,GIG,6
LAX-SMF,LAX,SMF,6
GIG-EZE,GIG,EZE,6
LAX-SYD,LAX,SYD,6
LGA-YUL,LGA,YUL,6
LGA-YYZ,LGA,YYZ,6
DLA-NSI,DLA,NSI,6
TSN-CTU,TSN,CTU,6
CLO-BOG,CLO,BOG,6
KMG-LJG,KMG,LJG,6
LHR-ARN,LHR,ARN,6
KMG-NNG,KMG,NNG,6
KMG-PEK,KMG,PEK,6
ATL-HOU,ATL,HOU,6
BCN-PMI,BCN,PMI,6
BRU-FCO,BRU,FCO,6
CTA-FCO,CTA,FCO,6
FCO-BRU,FCO,BRU,6
FCO-CTA,FCO,CTA,6
HGH-CKG,HGH,CKG,6
HOU-ATL,HOU,ATL,6
MXP-FCO,MXP,FCO,6
PMI-BCN,PMI,BCN,6
LHR-DXB,LHR,DXB,6
CAN-CTU,CAN,CTU,6
AGP-LGW,AGP,LGW,6
ALC-LGW,ALC,LGW,6
BCN-LGW,BCN,LGW,6
KWL-XMN,KWL,XMN,6
CUN-LGW,CUN,LGW,6
LHR-IAH,LHR,IAH,6
URC-CKG,URC,CKG,6
LHR-JNB,LHR,JNB,6
