Station,Date,Total,
83781,31/07/2015,65.1,
83781,31/08/2015,31.6,
83781,30/09/2015,201.7,
83781,31/10/2015,92.1,
83781,30/11/2015,247.2,
83781,31/12/2015,318.1,
83781,31/01/2016,175.9,
83781,29/02/2016,275.1,
83781,31/03/2016,256.6,
83781,30/04/2016,2.4,
83781,31/05/2016,105.7,
83781,30/06/2016,206.8,
83781,31/07/2016,6.4,
83781,31/08/2016,82.4,
83781,30/09/2016,22.2,
83781,31/10/2016,104.1,
83781,30/11/2016,166.8,
83781,31/12/2016,165.4,
83781,31/01/2017,454,
83781,28/02/2017,127.3,
83781,31/03/2017,160.4,
83781,30/04/2017,143.1,
83781,31/05/2017,153.4,
83781,30/06/2017,102.9,
83781,31/07/2017,0.8,
83781,31/08/2017,60.5,
83781,30/09/2017,11.1,
83781,31/10/2017,149.4,
83781,30/11/2017,159.8,
83781,31/12/2017,151.3,
83781,31/01/2018,244.3,
83781,28/02/2018,102.2,
83781,31/03/2018,220.5,
83781,30/04/2018,28,
83781,31/05/2018,10.8,
83781,30/06/2018,12.7,
83781,31/07/2018,24.2,
